MsL	MsR
3.6175641	5.14120169
6.28101939	5.54365649
3.09831579	6.54264817
6.23332907	3.75143686
7.49971734	7.03155892
3.59436641	6.58799194
4.70183753	5.34041104
3.85041274	4.16034279
5.39054019	7.10345203
4.33859733	5.80302221
7.91254862	4.28407192
5.02138728	3.91542938
4.90731492	7.65382108
3.18204352	5.90427571
6.41078231	7.82413514
4.07521083	4.52308147
5.84279102	6.14735829
7.12539074	3.48107625
3.94721681	8.01402893
4.57301208	5.09824172
7.25804137	6.32158942
5.42310719	4.87192358
6.81042751	3.64210786
4.15720931	5.2938147
3.42810467	7.18293514
7.61407235	4.93810283
5.78235104	6.42107139
4.23814029	3.8715647
8.04210719	5.12739082
4.61028317	7.35142857
3.78235107	4.01831429
6.14285714	6.75238047
7.40720938	5.32187614
4.87104671	3.9829351
5.23514286	7.61028317
7.57142857	4.14285714
4.01046709	5.4782351
6.3210719	6.84215647
